fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
a438c992-8f0b-40d1-bcc9-cf38b913033f,f2e2371b-142b-493f-af9e-87d19e020dd5,f2e2371b-142b-493f-af9e-87d19e020dd5,1,,42.99633889999753,-85.739873,POINT (-85.739873 42.99633889999753),912238,2019-07-09 17:12:51 UTC,2019-07-09 11:02:45 UTC,177.0,,,3.0,,,42.99633889999753,N,-85.739873,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
f00818e8-47ac-410f-9329-eccf2c221b6c,f2e2371b-142b-493f-af9e-87d19e020dd5,f2e2371b-142b-493f-af9e-87d19e020dd5,1,,42.99633889999753,-85.739873,POINT (-85.739873 42.99633889999753),808582,2019-07-09 17:12:53 UTC,2019-07-09 11:03:06 UTC,177.0,,,3.0,,,42.99633889999753,N,-85.739873,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
71368c48-3c20-4525-a0e2-81a7c30c2d4e,f2e2371b-142b-493f-af9e-87d19e020dd5,f2e2371b-142b-493f-af9e-87d19e020dd5,1,,42.99633889999753,-85.739873,POINT (-85.739873 42.99633889999753),877219,2019-07-09 17:12:55 UTC,2019-07-09 11:03:21 UTC,177.0,,,3.0,,,42.99633889999753,N,-85.739873,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
9357ea31-aa70-439c-8dd8-9c23b4664808,58be650a-47cb-4fa9-bc9a-d51284a725ad,58be650a-47cb-4fa9-bc9a-d51284a725ad,1,,42.99631790000148,-85.7396884,POINT (-85.7396884 42.99631790000148),799033,2019-07-09 17:12:57 UTC,2019-07-09 11:09:41 UTC,194.0,,,3.78699993207906,,,42.99631790000148,N,-85.7396884,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
771a5ab0-d961-4e8f-86e6-42d217abee8b,58be650a-47cb-4fa9-bc9a-d51284a725ad,58be650a-47cb-4fa9-bc9a-d51284a725ad,1,,42.99631739999806,-85.7396915,POINT (-85.7396915 42.99631739999806),837863,2019-07-09 17:12:59 UTC,2019-07-09 11:09:55 UTC,215.0,,,4.736999978574336,,,42.99631739999806,N,-85.7396915,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
2d6977ca-8047-456a-929b-a5642962b372,c68e3562-b022-412d-8b42-ec92ceb82ad4,c68e3562-b022-412d-8b42-ec92ceb82ad4,1,,42.99635910000144,-85.7398336,POINT (-85.7398336 42.99635910000144),925407,2019-07-09 17:13:00 UTC,2019-07-09 11:15:29 UTC,209.0,,,10.88500029262012,,,42.99635910000144,N,-85.7398336,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
12261a34-1321-465c-b2b4-cc257afbefd9,c68e3562-b022-412d-8b42-ec92ceb82ad4,c68e3562-b022-412d-8b42-ec92ceb82ad4,1,,42.99635910000144,-85.7398336,POINT (-85.7398336 42.99635910000144),731808,2019-07-09 17:13:02 UTC,2019-07-09 11:15:47 UTC,209.0,,,10.88500029262012,,,42.99635910000144,N,-85.7398336,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
8bb570f4-2438-4827-9908-2f424ff7965b,c68e3562-b022-412d-8b42-ec92ceb82ad4,c68e3562-b022-412d-8b42-ec92ceb82ad4,1,,42.9965135,-85.73993,POINT (-85.73993 42.9965135),948436,2019-07-09 17:13:04 UTC,2019-07-09 11:16:07 UTC,190.0,,,7.052999963921059,,,42.9965135,N,-85.73993,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
5ffc227c-bfce-4174-8330-d2dcc9606f14,2dccaebf-9b23-4120-81fc-b5ce683e15bd,2dccaebf-9b23-4120-81fc-b5ce683e15bd,1,,42.9964144,-85.73964370000174,POINT (-85.73964370000174 42.9964144),953962,2019-07-09 17:13:06 UTC,2019-07-09 11:29:10 UTC,184.0,,,3.3829998894661215,,,42.9964144,N,-85.73964370000174,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
7265ef3e-75e2-4f18-bf0d-a2e1f8502c5b,2dccaebf-9b23-4120-81fc-b5ce683e15bd,2dccaebf-9b23-4120-81fc-b5ce683e15bd,1,,42.9964658,-85.739886,POINT (-85.739886 42.9964658),977115,2019-07-09 17:13:09 UTC,2019-07-09 11:29:25 UTC,185.0,,,21.156999593440844,,,42.9964658,N,-85.739886,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
